nomor;sifat;jenis;hal;tgl;user;ruang
RSSM/ND/TU/48/2025;Biasa;Nota Dinas;Penyerahan Arsip Inaktif dari Unit Pengolah ke Unit Kearsipan;12/06/2025;Dian;TU
 000.5.2/20229/102.9/2025;Biasa;Surat Permohonan;Permohonan Pendampingan Kearsipan;10/06/2025;Dian;TU
400.7.22/19.796/102.9/2025;Rahasia;Surat Keterangan;SURAT KETERANGAN DIAGNOSA;03/06/2025;Dian;NULL
400.7/18727/102.9/2025;Penting;Lain-lain;Rekapitulasi Penyampaian LHKAN di RSUD dr. Soedono Provinsi Jawa Timur;26/05/2025;Dian;TU
-;Penting;Lain-lain;SURAT PERNYATAAN TANGGUNG JAWAB MUTLAK KESESUAIAN DAN KEBENARAN DATA DAN INFORMASI YANG DISAMPAIKAN DALAM EVALUASI ZI;26/05/2025;Dian;TU
800.1/18084/102.9/2025;Penting;Surat Tugas;Tim Pemantauan dan Evaluasi  Kinerja Penyelenggaraan Pelayanan Publik (PEKPPP) dan  Ketatalaksanaan Pemerintah di RSUD dr. Soedono Tahun  2025;21/05/2025;Dian;TU
700.1/16418/102.9/2025;Rahasia;Surat Permohonan;Pendampingan DAK DBHCHT 2025;07/05/2025;Dian;NULL
400.7/15855/102.9/2025;Rahasia;Surat Permohonan;Permohonan Narasumber Penyusunan Perdir Pengadaan Barang/Jasa di lingkungan RSUD dr. Soedono Provinsi Jawa Timur;02/05/2025;Dian;NULL
800.1/15903/102.9/2025;Penting;Surat Tugas;Mengikuti Kegiatan ZI Academy Provinsi Jawa Timur 2025;02/05/2025;Dian;TU
400.7.22/ 14.940 /102.9/2024;Rahasia;Surat Keterangan;SURAT KETERANGAN DIAGNOSA;25/04/2025;Dian;NULL
400.7.22/15.003 /102.9/2025;Rahasia;Surat Keterangan;SURAT KETERANGAN DIAGNOSA;25/04/2025;Dian;NULL
RSSM/ND/TU/30/2025;Penting;Nota Dinas;Usulan Pergeseran RBA Peningkatan Mutu Kegiatan Administrasi Umum, Peningkatan Mutu Kegiatan Kepegawaian dan Peningkatan Mutu Kegiatan Humas, Promosi dan Penyuluhan Kesehatan;22/04/2025;Dian;TU
RSSM/ND/TU/28/2025;Penting;Nota Dinas;Himbauan Pengantaran Makanan Online;21/04/2025;Dian;NULL
400.7/13935/102.9/2025;Penting;Surat Permohonan;Permohonan Surat Keterangan Domisili;17/04/2025;Dian;TU
400.7/13786/102.9/2025;Penting;Surat Permohonan;Permohonan Perpanjangan STNKB Khusus / Rahasia (ZZH) untuk L97;16/04/2025;Dian;TU
400.7/ 13227 /102.9/2025;Penting;Surat Permohonan;Permohonan Penambahan Kuota Kateterisasi Jantung;11/04/2025;Dian;TU
400.7/12484/102.9/2025;Penting;Surat Undangan;Undangan Halal Bi Halal Idul Fitri 1446 H / 2025 M di RSUD dr. Soedono Provinsi Jawa Timur;08/04/2025;Dian;TU
RSSM/ND/TU/27/2025;Penting;Nota Dinas; Penyampaian Surat Edaran Gubernur Jawa Timur No. 1977 Tahun 2025;27/03/2025;Dian;NULL
400.7.22/12.263/102.9/2025;Penting;Surat Keterangan;SURAT KETERANGAN DIAGNOSA;26/03/2025;Dian;NULL
400.7.22/12.262/102.9/2025;Penting;Surat Keterangan;SURAT KETERANGAN DIAGNOSA;26/03/2025;Dian;NULL
400.7/12219/102.9/2025;Penting;Surat Permohonan;Permohonan Narasumber Penyusunan Perdir Pengadaan Barang/Jasa di lingkungan RSUD dr. Soedono Provinsi Jawa Timur;26/03/2025;Dian;TU
RSSM/ND/PEG/065/2025;Penting;Nota Dinas;Pemberitahuan Kenaikan Pangkat Direktur RSUD dr. Soedono Provinsi Jawa Timur (dr. Ananda Haris, Sp.BS.);20/03/2025;Dian;NULL
000.3/10055/102.9/2025;Biasa;Lain-lain;Permohonan Perubahan dan Pembuatan Stempel;12/03/2025;Dian;NULL
400.7/9669/102.9/2025;Penting;Nota Dinas;PERUBAHAN KPA TA. 2025 RSUD  dr. SOEDONO PROVINSI JAWA TIMUR;10/03/2025;Dian;NULL
400.7/9671/102.9/2025;Rahasia;Surat Permohonan; Permohonan Approve SEP Rawat Inap;10/03/2025;Dian;TU
